color,name,japanese,english
0xcd821f,トパーズ,とぱーず,topaz
0x85403a,鳶色 JIS,とびいろ,
0xf15b55,トマトレッド JIS,とまとれっど,tomato red
0xfff6dc,鳥の子色,とりのこいろ,
0x33cc99,ナイルグリーン,ないるぐりーん,Nile green
0x279e91,ナイルブルー JIS,ないるぶるー,Nile blue
0x279e91,ナイル青,ないるあお,Nile blue
0xafc87d,苗色,なえいろ,
0x267ca7,中縹,なかはなだ,
0x267ca7,中縹,なかのはなだ,
0x451f49,茄子紺 JIS,なすこん,
0xf6adc6,撫子色,なでしこいろ,
0xffec50,菜の花色,なのはないろ,
0xedf0e0,生牡蠣色,なまがきいろ,
0x94825d,生壁色,なまかべいろ,
0x72777b,鉛色 JIS,なまりいろ,
0x007c8a,納戸色 JIS,なんどいろ,
0x007c8a,御納戸色,おなんどいろ,
0x2a6e6b,納戸茶,なんどちゃ,
0x2a6e6b,御納戸茶,おなんどちゃ,
0x2a6e6b,納戸鼠,なんどねず,
0xf37053,丹,たん,
0xf37053,丹,に,
0xf37053,丹色,にいろ,
0xfedcbd,肉色,にくいろ,
0x725889,似紫,にせむらさき,
0xda765b,肉桂色 JIS,にっけいいろ,
0x636466,鈍色,にびいろ,
0x636466,鈍色,にぶいろ,
